index,location,continent,total_cases,total_cases_per_million,total_deaths,total_deaths_per_million,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,life_expectancy,human_development_index
178,Dominica,North America,15798,217130.762,74,1017.07,32995,30659,3993,45.35,42.14,5.49,72758,98.567,NaN,NaN,NaN,9673.367,75,0.742
179,Dominican Republic,North America,667074,59407.306,4384,390.424,7352139,6114473,2566612,65.48,54.45,22.86,11228821,222.873,27.6,6.981,4.419,14600.861,74.08,0.756
180,El Salvador,North America,201809,31849.192,4230,667.572,4652597,4344286,2292292,73.43,68.56,36.18,6336393,307.811,27.6,8.273,5.417,7292.458,73.32,0.673
181,Greenland,North America,11971,211898.609,21,371.721,41227,38511,NaN,72.98,68.17,NaN,56494,0.137,NaN,NaN,NaN,NaN,71.7,NaN
182,Grenada,North America,19693,156967.615,238,1897.034,44241,39034,7411,35.26,31.11,5.91,125459,317.132,29.4,7.304,5.021,13593.877,72.4,0.779
183,Guadeloupe,North America,203235,513528.333,1021,2579.833,NaN,NaN,NaN,NaN,NaN,NaN,395762,NaN,43.4,NaN,NaN,NaN,82.14,NaN
184,Guatemala,North America,1271070,71232.69,20235,1134,8933623,7126305,4302176,50.07,39.94,24.11,17843914,157.834,22.9,4.694,3.016,7423.808,74.3,0.663
185,Haiti,North America,34427,2971.687,860,74.234,521396,350403,NaN,4.5,3.02,NaN,11585003,398.448,24.3,4.8,2.954,1653.173,64,0.51
186,Honduras,North America,474590,45489.932,11127,1066.534,6596213,5853689,4665196,63.23,56.11,44.72,10432858,82.805,24.9,4.652,2.883,4541.795,75.27,0.634
187,Jamaica,North America,156463,55338.472,3610,1276.8,859773,760132,46065,30.41,26.88,1.63,2827382,266.879,31.4,9.684,6.39,8193.571,74.47,0.734
188,Martinique,North America,230354,626793.139,1104,3003.984,NaN,NaN,NaN,NaN,NaN,NaN,367512,NaN,45.7,NaN,12.543,NaN,82.54,NaN
189,Mexico,North America,7692809,60333.807,334740,2625.327,97179493,81849962,57026630,76.22,64.19,44.73,127504120,66.444,29.3,6.857,4.321,17336.469,75.05,0.779
190,Montserrat,North America,1403,317924.315,8,1812.826,2104,1952,563,47.68,44.23,12.76,4413,NaN,NaN,NaN,NaN,NaN,74.16,NaN
191,Nicaragua,North America,16058,2311.037,245,35.26,6404524,6117158,2892531,92.17,88.04,41.63,6948395,51.667,27.3,5.445,3.519,5321.444,74.48,0.66
192,Panama,North America,1047727,237656.235,8658,1963.897,3533477,3174155,2033783,80.15,72,46.13,4408582,55.133,29.7,7.918,5.03,22267.037,78.51,0.815
193,Puerto Rico,North America,1252713,385164.303,5938,1825.722,NaN,NaN,NaN,NaN,NaN,NaN,3252412,376.232,38.2,15.168,9.829,35044.67,80.1,NaN
194,Saint Barthelemy,North America,5507,500909.587,5,454.794,NaN,NaN,NaN,NaN,NaN,NaN,10994,NaN,NaN,NaN,NaN,NaN,NaN,NaN
195,Saint Kitts and Nevis,North America,6607,138566.725,46,964.745,33794,27000,3503,70.88,56.63,7.35,47681,212.865,NaN,NaN,NaN,24654.385,76.23,0.779
196,Saint Lucia,North America,30150,167619.196,410,2279.399,60140,54971,7866,33.43,30.56,4.37,179872,293.187,34.9,9.721,6.405,12951.839,76.2,0.759
197,Saint Martin (French part),North America,12324,387352.276,46,1445.813,NaN,NaN,NaN,NaN,NaN,NaN,31816,590.533,NaN,NaN,NaN,NaN,82.08,NaN
198,Saint Pierre and Miquelon,North America,3426,582158.029,2,339.847,NaN,NaN,NaN,NaN,NaN,NaN,5885,NaN,NaN,NaN,NaN,NaN,81.07,NaN
199,Saint Vincent and the Grenadines,North America,9644,92767.341,124,1192.778,37532,31632,4279,36.1,30.43,4.12,103959,281.787,31.8,7.724,4.832,10727.146,72.53,0.738
200,Sint Maarten (Dutch part),North America,11051,250067.886,92,2081.825,29788,26773,9146,67.41,60.58,20.7,44192,1209.088,NaN,NaN,NaN,36327.232,78.95,NaN
201,Trinidad and Tobago,North America,191496,125075.52,4390,2867.326,753588,716898,168619,49.22,46.82,11.01,1531043,266.886,36.2,10.014,5.819,28763.071,73.51,0.796
202,Turks and Caicos Islands,North America,6657,145584.569,40,874.776,32815,30710,7443,71.76,67.16,16.28,45726,37.312,NaN,NaN,NaN,NaN,80.22,NaN
